"","","(Intercept)","Gender","PossessionsStudyDesk","PossessionsStudyOwnRoom","PossessionsStudyStudyPlace","PossessionsStudyComputer","PossessionsStudySoftware","PossessionsStudyInternet","PossessionsStudyTextbooks","PossessionsStudyTechnicalBooks","PossessionsNonStudy","PossessionsWealth","Enjoyment","MotivatingFactors","AtHomeMother","AtHomeFather","AtHomeBrothers","AtHomeSisters","SenseOfBelonging","AttitudeToSchool","PerceivedControl"
"1","AE","-0.477734573048372","0.0243541639886541","-0.0575350385765113","-0.00505184437300469","0.00342413448227927","0","0.00390687318064003","0.109597051465262","-0.0124952535911186","-0.0541836029264212","0.0777222664294963","-0.0158745546629693","0.709773904116234","0.0464347808486214","0","0.122464424202809","0.040773679244729","0.0400104903658563","0.0378381272969171","0.168980090732879","0.0840301099109888"
"1","AL","-0.192423128947519","0.0105397093863905","0.118018243297334","-0.0169183938300251","0.12774931683252","0","-0.00804365979106641","-0.0374457915763437","0.0699207245749083","-0.0191335867611237","0.0257148453957429","-0.0191500929276983","0.482130664634283","0.0561161164360653","0.0616251984685831","-0.0616988307713229","0.125553542626397","-0.0136716165363341","0.035302535861328","0.190220793113525","0.0276977707648106"
"1","AT","-0.940879916992833","0.1525753038308","0.10667650190941","-0.0491313966098222","0.0536206213239177","0.189105919718909","-0.00786543473887607","0.0420224383561952","0.0894356271366823","-0.00416055850241939","0.0439279846167399","0.0109990582679411","0.410770073729839","0.0837970441983614","0.290694660008753","0.0947310682530136","-0.0892214555830535","-0.0668266124585488","0.0171704935483861","0.202690623039725","0.137387745701347"
"1","AU","-0.44113929371959","0.212928109880649","0.164690133273037","0.191357233008687","0.129348970231859","-0.0187487286879185","0.0582396541971213","-0.0809114608158068","0.114286328703088","0.00697824818687257","-0.00270770566875192","-0.039158716177154","0.314122214625019","0.0562082396320916","0.0105812331927679","0.0515713183443071","-0.0735047983795727","0.0732145655549888","-0.000867898266332439","0.32272086644935","-0.00485995785821601"
"1","BE","-0.379147085817866","0.237434978634912","0.265514186066781","-0.00454910186288977","-0.111792409878696","0.717485236743014","0.0767709910197642","-0.46762848980912","0.21028289407753","0.0021881834561556","-0.0178680473012528","-0.0434744001970412","0.161743031885434","0.0786105068968464","-0.119798857974196","0.121693359118681","-0.0351705195584668","-0.126846113360311","0.00413695467859123","0.277209316302571","0.041178339294507"
"1","BG","-0.149716779645309","0.0890028648007271","-0.109908064568664","-0.160959556172108","-0.00886485327374081","0.0753125895210028","0.120878207677726","-0.104239331404585","0.113205187557397","0.0102519394069467","0.108755080051144","0.0360947553922328","0.533989078060624","0.115032989198947","0.114406049851965","0.10206878485253","0.030676236549761","0.00260258931430362","0.0523745980136488","0.143634396426688","-0.00751519274393581"
"1","BR","-0.0744390322804353","0.146847368445563","0.0671837246588817","-0.0399174517258329","0.096286662247971","-0.0518808538940266","0.0294644875354778","0.0210027193742119","0","0.00256985621243099","0.068809739046148","0.0264064534810918","0.532673190235664","0.0246184211655866","0.00265948417448158","-0.022568662755119","-0.0187094661733059","0.0161679627833795","0.0279670440061968","0.181378771275888","0.0495045609005224"
"1","CA","-0.372071234969417","0.215586455910084","0.131483913151354","-0.0790442395088434","0.176388432837062","0.169845843812998","0.0285192596923515","-0.181883328575817","0.0640265845254179","0","0.00914655341575331","0.00416186101995963","0.260437028507465","0.159430065489645","-0.0419581843165129","0.15047905482461","-0.083517894364508","-0.0350274643711128","0.03492392768053","0.208198388159025","0.0841577192178769"
"1","CH","-0.289877323756672","0.222215869005595","-0.00336051532701674","-0.00619448432034034","0.181429611079221","-0.0473166650594322","0.0493480533583472","-0.0131808354813779","0.109551770269435","0.00270749726123509","0.00797183212303698","-0.0807321703149934","0.372115692844829","0.0850995041322782","0.0191935712980648","0.117906724488851","-0.178197416424838","-0.103594909841875","0.0346940407343582","0.20743493885654","0.0572992220020884"
"1","CL","-0.0696192605165162","0.102445930945984","0.0708096653900555","0.106769033239941","0.0182666579440833","-0.104259229634222","0.103510705108975","0.0220133133968238","-0.0863284246052746","0.00292006186494973","0.0275632106665844","0","0.48744980286719","0.0225701152568923","0.105354638664976","-0.0088462723664817","-0.0191677254960408","0.0135960810271031","-0.0286375572178536","0.184702095682173","0.0392976655225586"
